10,-22
20,-24
30,-27
40,-28
50,-32
60,-34
70,-50
80,-50
90,-52
100,-50
120,-53
140,-60
160,-54
180,-63
200,-66
220,-60
240,-70
260,-61
280,-64
300,-55
